1001,Paul S. Aspinwall
1002,C.N. Pope
1002,M. Cvetic
1002,H. Lu
1003,Y.S. Myung
1003,Gungwon Kang
1004,Adam D. Helfer
1005,J. Fuchs
1005,C. Schweigert
1006,Rudolf Haag
1007,Sheng Li
1007,Yong Zhang
1007,Zhongyuan Zhu
1008,Donald Spector
1009,Gouranga C. Nayak
1009,Walter Greiner
1010,S. Vandoren
1010,A.V. Belitsky
1010,P. van Nieuwenhuizen
1011,Tsunehide Kuroki
1012,A. Zamolodchikov
1012,Al. Zamolodchikov
1012,V. Fateev
1013,Rainer Dick
1013,Dzo Mikulovicz
1014,Franz-Marc Boas
1015,Alice Rogers
1016,Enrique Alvarez
1016,Cesar Gomez
1017,R. S. Ward
1018,Donam Youm
1019,I. Klich
1019,J. Feinberg
1019,M. Revzen
1019,A. Mann
1020,ST Tsou
1021,Robert L. Karp
1021,Zalan Horvath
1021,Laszlo Palla
1022,Bogdan Damski
1023,Carlos Castro
1024,Christopher M. Hull
1024,Paul K.
1024,Jerome P. Gauntlett
1024,Gary W. Gibbons
1025,Brian R. Greene
1025,C. I. Lazaroiu
1026,Allen C. Hirshfeld
1026,Thomas Schwarzweller
1027,Yoshihisa Kitazawa
1027,Satoshi Iso
1027,Hikaru Kawai
1028,Domenico Seminara
1029,C. Vafa
1029,F.A. Cachazo
1030,Samik Sen
1030,James C. Sexton
1030,Siddhartha Sen
1030,David H. Adams
1031,K.I.Bolotin
1031,M.A.Vasiliev
1032,Branislav Jurco
1032,Peter Schupp
1033,Yuri Shirman
1033,Csaba Csaki
1033,Timothy J. Hollowood
1033,Joshua Erlich
1034,Michael John Pfenning
1035,Nathan Berkovits
1036,Kenichi Konishi
1036,Giuseppe Carlino
1037,Masatoshi Nozaki
1037,Michihiro Naka
1038,V.G.Ksenzov
1039,George Tsoupros
1040,Semyon Polshin
1041,F. Bastianelli
1041,A.A. Tseytlin
1041,S. Frolov
1042,St. D. Glazek
1043,Zhiyong Wang
1043,Ailin Zhang
1044,Y. Matsuo
1045,S. Nussinov
1045,O. Kenneth
1046,Luca Lusanna
1046,Horace Crater
1047,Yuri Makeenko
1048,Felix Finster
1049,A. Lerda
1049,P. Strigazzi
1049,L. Gallot
1050,I. V. Tyutin
1051,R. von Unge
1051,I.Y. Park
1052,J.J.Rosales
1052,V.I.Tkach
1052,A.Pashnev
1053,Juan Maldacena
1053,Hirosi Ooguri
1054,Oskar Pelc
1055,David Berenstein
1055,Robert G. Leigh
1056,H. Verlinde
1056,J. Khoury
1057,Kenji Suzuki
1058,Jaroslaw Piskorski
1059,K.B. Korotchenko
1060,Universita di Catania
1060,Alfio Bonanno
1061,Andre Wehner
1061,James T. Wheeler
1062,Christos Kokorelis
1063,Akishi Kato
1063,Yuji Satoh
1064,Everton M. C. Abreu
1065,Eric Bergshoeff
1065,Rein Halbersma
1066,David Tong
1066,Nemani V. Suryanarayana
1066,Sunil Mukhi
